size_low_pass,size_notch,Volume,Entropy
0.8,5.0,188.91105926734411,826.1394045490919
1.0,0.2,0.0,-0.0
1.0,0.4,261.2871474061238,910.0463828766893
1.0,0.6,262.98531900760156,904.9834176306788
1.0,0.8,255.32504858665988,886.746393672255
1.0,1.0,235.9796647679605,859.4841856745227
1.0,1.2,214.29429432148686,838.4958058796536
1.0,1.4,200.35164242168514,826.1905458889546
1.0,1.6,196.26924661990344,822.4304658357504
1.0,1.8,195.86693358033068,823.7269868347665
1.0,2.0,204.87271501186524,832.6517380365722
1.0,2.2,208.37367487147546,836.6417310257615
1.0,2.4,207.2438602671016,835.0774418140222
1.0,2.6,195.1991868856626,828.9087564052137
1.0,2.8,211.50343914163045,838.7543364930006
1.0,3.0,204.75928230960335,830.784776647841
1.0,3.2,206.65381319532187,834.6082659317826
1.0,3.4,191.6835355773732,825.9939596341383
1.0,3.6,200.11440368370563,829.7256769370639
1.0,3.8,201.50627891567328,825.3184478972692
1.0,4.0,202.95591608561614,829.1277348732549
1.0,4.2,205.0858884713508,831.8262053850459
1.0,4.4,206.6839655724633,832.3691014424377
1.0,4.6,210.56125163290343,837.193533919355
1.0,4.8,205.62430160884088,834.0829540307446
1.0,5.0,190.9741897692261,826.8065102884931
1.2,0.2,0.0,-0.0
1.2,0.4,262.64434980089555,904.4099442238452
1.2,0.6,261.443594017893,897.8051198095123
1.2,0.8,254.0357606724051,883.7364558398766
1.2,1.0,237.50879897483512,863.1359848410627
1.2,1.2,217.75316303802572,843.2715038157436
1.2,1.4,202.9614718349532,828.4701432163016
1.2,1.6,196.74570453485356,821.7308083702341
1.2,1.8,194.92849616289163,821.6899457508251
1.2,2.0,203.56007349808743,830.1488078312476
1.2,2.2,206.84521145589292,833.80456519545
1.2,2.4,206.2658738825199,833.3008759152784
1.2,2.6,196.00488032093585,829.4917400103623
1.2,2.8,212.18380217212197,839.9016570989476
1.2,3.0,205.00844112361898,831.1297699891163
1.2,3.2,206.10234280599684,833.2384263003865
1.2,3.4,192.31778079076477,824.9838533632424
1.2,3.6,199.69445708703995,827.926092119802
1.2,3.8,200.67049060176473,823.5730908504202
1.2,4.0,202.58662993768314,828.27525829572
1.2,4.2,205.58030002950466,832.9927319628043
1.2,4.4,207.74682392458604,834.3444951953188
1.2,4.6,211.28748657987427,838.2780711489097
1.2,4.8,205.64417720451434,833.4858374173871
1.2,5.0,192.17866729144149,825.901415797321
