m1,m2,Volume,Entropy
6.5,6.5,198.72189144182818,1004.6792227961696
6.5,7.0,197.69492830276488,1003.8230468439818
6.5,7.5,196.5434962860469,1002.9609174287898
6.5,8.0,195.29564521592064,1002.0985755460408
6.5,8.5,193.97404454140215,1001.2399606680752
6.5,9.0,192.59708555945238,1000.387765784765
6.5,9.5,191.17973798301765,999.5438058862634
6.5,10.0,189.7342188647568,998.7092706289272
6.5,10.5,188.270518043181,997.8849013934397
6.5,11.0,186.7968135014398,997.0711197760866
6.5,11.5,185.31980183744753,996.2681193765986
6.5,12.0,183.84496289075605,995.4759312008681
6.5,12.5,182.37677297226492,994.6944761077996
6.5,13.0,180.9188777077785,993.9235991953682
6.5,13.5,179.47423293602253,993.1630964142641
6.5,14.0,178.04522017150217,992.412736257881
6.5,14.5,176.6337416862331,991.6722715456414
6.5,15.0,175.24129915963277,990.9414514332626
6.5,15.5,173.8690590028759,990.2200283160674
6.5,16.0,172.51790681681535,989.5077612516243
6.5,16.5,171.18849294254113,988.8044212425953
6.5,17.0,169.8812706748588,988.1097921881383
6.5,17.5,168.5965284047531,987.4236718250936
6.5,18.0,167.33441671737438,986.7458723466702
6.5,18.5,166.0949712823197,986.0762199226033
6.5,19.0,164.87813222174412,985.4145547190367
6.5,19.5,163.68376052060887,984.7607299158351
6.5,20.0,162.51165194564834,984.1146103569309
7.0,0.5,167.57013993538354,990.6064163677939
7.0,1.0,174.8278288242651,1001.8391266934685
7.0,1.5,180.7144211463138,1007.994904505334
7.0,2.0,185.28660054469415,1011.2218416344932
7.0,2.5,188.73127320662002,1012.7943937774862
7.0,3.0,191.2334010853078,1013.416805249002
7.0,3.5,192.9600817187316,1013.481923142974
7.0,4.0,194.055543715559,1013.212949422879
7.0,4.5,194.64048666977936,1012.7396939756512
7.0,5.0,194.8139854686213,1012.1397220546111
7.0,5.5,194.65650307659743,1011.4607330446482
7.0,6.0,194.2330810316388,1010.73290203239
7.0,6.5,193.59625062866508,1009.9758177058495
7.0,7.0,192.78850294284064,1009.2024793911344
7.0,7.5,191.84430526003575,1008.4216609229514
7.0,8.0,190.7917137857703,1007.6393515107759
7.0,8.5,189.65365047653054,1006.8596595257632
7.0,9.0,188.44891006840822,1006.0853920110862
7.0,9.5,187.19295434774193,1005.3184468298308
7.0,10.0,185.89854016069208,1004.5600736979626
7.0,10.5,184.5762179358418,1003.8110596736042
7.0,11.0,183.23472934358333,1003.0718575789119
7.0,11.5,181.88132619823244,1002.3426795838365
7.0,12.0,180.5220276260788,1001.6235674076152
7.0,12.5,179.16182861192894,1000.9144413471788
7.0,13.0,177.80487004767284,1000.2151396498078
7.0,13.5,176.45457812718,999.525445416364
7.0,14.0,175.1137791932183,998.8451073797906
7.0,14.5,173.78479481296858,998.1738562444182
7.0,15.0,172.46952083919984,997.5114149230651
7.0,15.5,171.16949342885673,996.8575069992996
7.0,16.0,169.88594438304142,996.2118634714011
7.0,16.5,168.61984769958076,995.574224387038
7.0,17.0,167.3719588596445,994.9443445525469
7.0,17.5,166.14284807915456,994.3219931199897
7.0,18.0,164.93292852586902,993.7069542718314
7.0,18.5,163.74248032029172,993.0990286292986
7.0,19.0,162.5716709924925,992.498031714176
7.0,19.5,161.42057294953395,991.9037943961067
7.0,20.0,160.28917841337855,991.3161622402627
7.5,0.5,161.80835612097528,994.2275638715525
7.5,1.0,168.6863538198858,1005.328581664642
7.5,1.5,174.38855262810733,1011.6256630498943
7.5,2.0,178.91802919757583,1015.0450533011153
7.5,2.5,182.42294039512404,1016.7954101613084
7.5,3.0,185.05630051354996,1017.5668187009926
7.5,3.5,186.959831576751,1017.754915840394
7.5,4.0,188.25892918210567,1017.5896043153921
7.5,4.5,189.06104692614537,1017.2068378330808
7.5,5.0,189.45629654504762,1016.68871574518
7.5,5.5,189.51925475111122,1016.0859813541524
7.5,6.0,189.31120562182,1015.430752308644
7.5,6.5,188.88236465759394,1014.7438277267668
7.5,7.0,188.27387181624061,1014.0389506660413
7.5,7.5,187.51948416707285,1013.3253545790112
7.5,8.0,186.64697112973744,1012.6093166204541
7.5,8.5,185.67924575825953,1011.895128096495
7.5,9.0,184.6352743107083,1011.1857211574657
7.5,9.5,183.53080508577352,1010.483075131639
7.5,10.0,182.37895234243268,1009.788498306898
7.5,10.5,181.19066501117814,1009.1028181938175
7.5,11.0,179.97510414665624,1008.4265162793196
