m1,m2,Volume,Entropy
2.0,3.5,254.06370008717076,919.3872245087836
2.0,4.0,251.7793780041835,916.8581047716493
2.0,4.5,249.38867516743534,914.2891344955545
2.0,5.0,246.942851196753,911.716967879944
2.0,5.5,244.47691331697254,909.1640713125068
2.0,6.0,242.0149615605044,906.6441986559204
2.0,6.5,239.57364363616807,904.1656239955469
2.0,7.0,237.1644312241678,901.7331006960613
2.0,7.5,234.79514872603863,899.3491035779252
2.0,8.0,232.47101883873992,897.014612484437
2.0,8.5,230.19538984942767,894.7296377376795
2.0,9.0,227.97024939782534,892.4935612123122
2.0,9.5,225.7965924787661,890.3053673407026
2.0,10.0,223.6746883241537,888.1637977769444
2.0,10.5,221.6042760709529,886.0674554469407
2.0,11.0,219.58470957599135,884.0148787403585
2.0,11.5,217.6150654503939,882.0045865668653
2.0,12.0,215.69422417926762,880.035110109146
2.0,12.5,213.82093133533772,878.1050137907615
2.0,13.0,211.99384392797245,876.2129078602886
2.0,13.5,210.21156555639897,874.3574547827005
2.0,14.0,208.47267306612144,872.537375028193
2.0,14.5,206.77573671423417,870.7514464050616
2.0,15.0,205.11933534805038,868.9985045917767
2.0,15.5,203.50206773519665,867.2774431950454
2.0,16.0,201.9225609129668,865.5872078801145
2.0,16.5,200.37947622329017,863.9267967055572
2.0,17.0,198.87151354824084,862.295258094625
2.0,17.5,197.3974141462059,860.6916857831411
2.0,18.0,195.9559624011481,859.1152177142393
2.0,18.5,194.5459867299232,857.5650320581508
2.0,19.0,193.1663598403603,856.040345620241
2.0,19.5,191.81599849211221,854.5404113908951
2.0,20.0,190.49386288040262,853.0645166220987
2.5,0.5,246.42771625884143,928.9562495331849
2.5,1.0,248.71122806108184,932.4433563122707
2.5,1.5,249.6745707487389,933.506562252148
2.5,2.0,249.6717626463045,933.20849512235
2.5,2.5,248.983665298439,932.1329011397814
2.5,3.0,247.81232929636326,930.5979735763202
2.5,3.5,246.30207340004472,928.7861962971344
2.5,4.0,244.5560217593135,926.8074034468661
2.5,4.5,242.648214102331,924.7303757032582
2.5,5.0,240.6322102038548,922.5995211591036
2.5,5.5,238.5470859449925,920.4441554567403
2.5,6.0,236.42158312323542,918.2839233850507
2.5,6.5,234.27698827082116,916.1320936978399
2.5,7.0,232.1291456456883,913.997637519688
2.5,7.5,229.9898802072227,911.886578260327
2.5,8.0,227.8680158714238,909.8028925797342
2.5,8.5,225.7701133645946,907.7491204778463
2.5,9.0,223.70101153065303,905.7267850450002
2.5,9.5,221.66422916308818,903.7366942250354
2.5,10.0,219.6622666270028,901.7791448722007
2.5,10.5,217.69683460387256,899.8540764551018
2.5,11.0,215.76902921370333,897.96117838731
2.5,11.5,213.87946724026995,896.0999683667046
2.5,12.0,212.02839135750068,894.2698488089775
2.5,12.5,210.2157525750027,892.4701477274917
