ThetaIncident,SineRatio,Power1,Power2,volume,volume_a,total,total_a,,measure,entropy
36,0.9,0.5,2,410,436,134,137,4495,29,2028
36,0.9,1,0.5,421,466,128,125,4620,28,2076
36,0.9,1,1,456,481,116,120,5032,35,2240
36,0.9,1,2,447,457,119,128,4932,28,2204
36,0.9,2,0.5,414,436,133,137,4571,25,2076
36,0.9,2,1,450,457,118,128,4978,34,2229
36,0.9,2,2,488,474,109,122,5409,47,2388
36,1,0.5,0.5,387,445,147,135,4228,23,1922
36,1,0.5,1,395,436,144,138,4351,23,1989
36,1,0.5,2,397,418,143,147,4384,27,2008
36,1,1,0.5,395,436,144,138,4351,23,1989
36,1,1,1,397,426,143,143,4378,26,2002
36,1,1,2,397,414,143,149,4385,28,2009
36,1,2,0.5,397,418,143,147,4384,27,2008
36,1,2,1,397,414,143,149,4385,28,2009
36,1,2,2,397,409,143,152,4383,29,2007
45,0.1,0.5,0.5,369,451,151,128,4019,17,1838
45,0.1,0.5,1,369,466,150,125,3960,11,1779
45,0.1,0.5,2,369,436,152,137,3883,6,1702
45,0.1,1,0.5,426,466,132,125,4759,35,2180
45,0.1,1,1,434,481,128,120,4810,33,2174
45,0.1,1,2,411,457,135,128,4458,19,1984
45,0.1,2,0.5,421,436,134,137,4732,40,2188
45,0.1,2,1,447,457,125,128,5028,34,2300
45,0.1,2,2,464,474,119,122,5184,38,2335
45,0.2,0.5,0.5,371,451,151,128,4046,17,1851
45,0.2,0.5,1,375,466,148,125,4045,11,1822
45,0.2,0.5,2,380,436,147,137,4032,7,1775
45,0.2,1,0.5,427,466,132,125,4775,35,2189
45,0.2,1,1,438,481,127,120,4869,32,2205
45,0.2,1,2,421,457,132,128,4582,19,2038
45,0.2,2,0.5,422,436,134,137,4737,40,2186
45,0.2,2,1,448,457,125,128,5051,34,2316
45,0.2,2,2,470,474,118,122,5263,43,2371
45,0.3,0.5,0.5,375,451,150,128,4090,17,1867
45,0.3,0.5,1,382,466,147,125,4133,16,1862
45,0.3,0.5,2,387,436,146,137,4139,10,1833
45,0.3,1,0.5,429,466,131,125,4799,35,2199
45,0.3,1,1,443,481,126,120,4936,32,2237
45,0.3,1,2,429,457,131,128,4691,25,2091
45,0.3,2,0.5,422,436,134,137,4745,40,2194
45,0.3,2,1,451,457,124,128,5080,34,2324
45,0.3,2,2,476,474,117,122,5340,43,2405
45,0.4,0.5,0.5,380,451,148,128,4146,18,1889
45,0.4,0.5,1,389,466,144,125,4223,18,1903
45,0.4,0.5,2,393,436,144,137,4223,12,1875
45,0.4,1,0.5,432,466,131,125,4828,36,2206
45,0.4,1,1,449,481,125,120,5001,33,2259
45,0.4,1,2,435,457,129,128,4771,21,2128
45,0.4,2,0.5,423,436,134,137,4754,40,2196
45,0.4,2,1,453,457,124,128,5109,34,2339
45,0.4,2,2,481,474,116,122,5401,44,2430
45,0.5,0.5,0.5,386,451,146,128,4222,18,1923
45,0.5,0.5,1,399,466,142,125,4342,16,1952
45,0.5,0.5,2,399,436,142,137,4323,14,1933
45,0.5,1,0.5,435,466,130,125,4866,36,2223
45,0.5,1,1,456,481,123,120,5091,38,2299
45,0.5,1,2,442,457,128,128,4878,26,2186
45,0.5,2,0.5,424,436,133,137,4765,40,2200
45,0.5,2,1,457,457,123,128,5147,34,2348
45,0.5,2,2,488,474,115,122,5490,51,2469
45,0.6,0.5,0.5,394,451,143,128,4309,19,1954
45,0.6,0.5,1,408,466,138,125,4462,19,2009
45,0.6,0.5,2,404,436,140,137,4407,18,1982
45,0.6,1,0.5,438,466,128,125,4909,36,2245
45,0.6,1,1,463,481,121,120,5172,42,2330
45,0.6,1,2,447,457,125,128,4953,31,2225
45,0.6,2,0.5,425,436,133,137,4779,40,2207
45,0.6,2,1,460,457,121,128,5186,35,2366
45,0.6,2,2,493,474,113,122,5551,36,2494
45,0.7,0.5,0.5,402,451,139,128,4418,22,2007
45,0.7,0.5,1,420,466,133,125,4617,28,2080
45,0.7,0.5,2,412,436,137,137,4518,18,2037
45,0.7,1,0.5,443,466,126,125,4960,37,2261
45,0.7,1,1,471,481,118,120,5280,39,2381
45,0.7,1,2,455,457,122,128,5061,29,2276
45,0.7,2,0.5,427,436,132,137,4794,40,2208
45,0.7,2,1,464,457,120,128,5233,35,2384
45,0.7,2,2,500,474,110,122,5639,51,2532
45,0.8,0.5,0.5,411,451,135,128,4529,24,2055
45,0.8,0.5,1,431,466,129,125,4771,29,2157
45,0.8,0.5,2,417,436,134,137,4615,28,2099
45,0.8,1,0.5,447,466,124,125,5008,38,2280
45,0.8,1,1,479,481,115,120,5380,38,2424
45,0.8,1,2,461,457,119,128,5153,42,2326
45,0.8,2,0.5,428,436,131,137,4805,40,2212
45,0.8,2,1,468,457,118,128,5271,45,2394
45,0.8,2,2,507,474,108,122,5713,49,2555
45,0.9,0.5,0.5,418,451,132,128,4625,25,2102
45,0.9,0.5,1,441,466,125,125,4910,34,2225
45,0.9,0.5,2,423,436,132,137,4711,34,2153
45,0.9,1,0.5,448,466,123,125,5027,39,2292
45,0.9,1,1,484,481,112,120,5433,41,2441
45,0.9,1,2,466,457,117,128,5213,49,2350
45,0.9,2,0.5,428,436,130,137,4801,40,2208
45,0.9,2,1,468,457,116,128,5267,45,2390
45,0.9,2,2,509,474,107,122,5725,52,2553
45,1,0.5,0.5,411,445,138,135,4591,29,2117
45,1,0.5,1,412,436,138,138,4613,38,2132
45,1,0.5,2,405,418,141,147,4529,29,2097
45,1,1,0.5,412,436,138,138,4613,38,2132
45,1,1,1,408,426,140,143,4568,28,2115
45,1,1,2,403,414,142,149,4502,29,2084
45,1,2,0.5,405,418,141,147,4529,29,2097
45,1,2,1,403,414,142,149,4502,29,2084
45,1,2,2,400,409,143,152,4469,29,2072
54,0.1,0.5,0.5,376,451,149,128,4150,22,1920
54,0.1,0.5,1,368,466,151,125,3992,16,1818
54,0.1,0.5,2,369,436,152,137,3908,8,1727
54,0.1,1,0.5,434,466,130,125,4930,51,2294
54,0.1,1,1,430,481,130,120,4840,44,2233
54,0.1,1,2,407,457,137,128,4445,25,1999
54,0.1,2,0.5,425,436,134,137,4841,37,2269
54,0.1,2,1,443,457,127,128,5059,48,2360
54,0.1,2,2,453,474,123,122,5124,38,2354
54,0.2,0.5,0.5,378,451,149,128,4182,22,1939
54,0.2,0.5,1,375,466,149,125,4078,19,1855
54,0.2,0.5,2,379,436,148,137,4048,8,1798
54,0.2,1,0.5,435,466,130,125,4949,51,2306
54,0.2,1,1,435,481,129,120,4903,33,2260
54,0.2,1,2,415,457,134,128,4566,21,2064
54,0.2,2,0.5,426,436,133,137,4848,37,2269
54,0.2,2,1,445,457,127,128,5085,48,2371
54,0.2,2,2,459,474,121,122,5204,43,2391
54,0.3,0.5,0.5,382,451,147,128,4230,27,1959
54,0.3,0.5,1,382,466,147,125,4170,17,1899
54,0.3,0.5,2,387,436,146,137,4157,11,1851
54,0.3,1,0.5,437,466,129,125,4970,51,2313
54,0.3,1,1,439,481,128,120,4961,45,2290
54,0.3,1,2,422,457,133,128,4665,26,2114
54,0.3,2,0.5,426,436,133,137,4853,37,2274
54,0.3,2,1,446,457,126,128,5103,48,2382
54,0.3,2,2,463,474,121,122,5261,39,2419
54,0.4,0.5,0.5,388,451,145,128,4299,22,1986
54,0.4,0.5,1,390,466,144,125,4278,21,1951
54,0.4,0.5,2,393,436,144,137,4252,15,1904
54,0.4,1,0.5,439,466,128,125,5002,52,2331
54,0.4,1,1,445,481,126,120,5030,35,2316
54,0.4,1,2,428,457,131,128,4748,23,2155
54,0.4,2,0.5,427,436,133,137,4861,37,2275
54,0.4,2,1,449,457,125,128,5129,48,2387
54,0.4,2,2,467,474,120,122,5318,45,2448
54,0.5,0.5,0.5,397,451,142,128,4409,25,2033
54,0.5,0.5,1,403,466,140,125,4439,22,2021
54,0.5,0.5,2,401,436,142,137,4378,18,1974
54,0.5,1,0.5,444,466,127,125,5057,52,2350
54,0.5,1,1,455,481,124,120,5151,34,2366
54,0.5,1,2,438,457,129,128,4879,35,2215
54,0.5,2,0.5,428,436,132,137,4878,37,2285
54,0.5,2,1,453,457,124,128,5184,48,2414
54,0.5,2,2,476,474,118,122,5428,44,2493
54,0.6,0.5,0.5,406,451,139,128,4514,29,2075
54,0.6,0.5,1,414,466,136,125,4583,30,2088
54,0.6,0.5,2,406,436,139,137,4472,24,2033
54,0.6,1,0.5,448,466,126,125,5103,53,2368
54,0.6,1,1,461,481,121,120,5239,49,2412
54,0.6,1,2,443,457,127,128,4959,28,2260
54,0.6,2,0.5,429,436,132,137,4890,37,2290
54,0.6,2,1,456,457,123,128,5219,48,2427
54,0.6,2,2,481,474,116,122,5486,41,2515
