ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,entropy
63,0.6,1,1,459,481,5281
63,0.6,1,2,438,457,4970
63,0.6,2,0.5,429,436,4943
63,0.6,2,1,451,457,5226
63,0.6,2,2,470,474,5436
63,0.7,0.5,0.5,425,451,4819
63,0.7,0.5,1,434,466,4903
63,0.7,0.5,2,417,436,4671
63,0.7,1,0.5,458,466,5301
63,0.7,1,1,472,481,5449
63,0.7,1,2,450,457,5123
63,0.7,2,0.5,431,436,4969
63,0.7,2,1,458,457,5305
63,0.7,2,2,482,474,5575
63,0.8,0.5,0.5,440,451,5019
63,0.8,0.5,1,453,466,5170
63,0.8,0.5,2,427,436,4830
63,0.8,1,0.5,467,466,5417
63,0.8,1,1,490,481,5677
63,0.8,1,2,465,457,5320
63,0.8,2,0.5,435,436,5011
63,0.8,2,1,469,457,5430
63,0.8,2,2,501,474,5788
63,0.9,0.5,0.5,456,451,5228
63,0.9,0.5,1,474,466,5453
63,0.9,0.5,2,439,436,4998
63,0.9,1,0.5,478,466,5551
63,0.9,1,1,513,481,5945
63,0.9,1,2,484,457,5550
63,0.9,2,0.5,440,436,5062
63,0.9,2,1,484,457,5588
63,0.9,2,2,526,474,6061
63,1,0.5,0.5,437,445,5054
63,1,0.5,1,428,436,4934
63,1,0.5,2,411,418,4687
63,1,1,0.5,428,436,4934
63,1,1,1,418,426,4788
63,1,1,2,406,414,4620
63,1,2,0.5,411,418,4687
63,1,2,1,406,414,4620
63,1,2,2,401,409,4542
72,0.1,0.5,0.5,379,451,4289
72,0.1,0.5,1,369,466,4070
72,0.1,0.5,2,371,436,3973
72,0.1,1,0.5,437,466,5096
72,0.1,1,1,428,481,4934
72,0.1,1,2,405,457,4511
72,0.1,2,0.5,425,436,4935
72,0.1,2,1,439,457,5130
72,0.1,2,2,446,474,5170
72,0.2,0.5,0.5,382,451,4327
72,0.2,0.5,1,375,466,4163
72,0.2,0.5,2,381,436,4112
72,0.2,1,0.5,438,466,5115
72,0.2,1,1,432,481,4995
72,0.2,1,2,413,457,4630
72,0.2,2,0.5,426,436,4941
72,0.2,2,1,441,457,5152
72,0.2,2,2,451,474,5240
72,0.3,0.5,0.5,387,451,4392
72,0.3,0.5,1,384,466,4273
72,0.3,0.5,2,388,436,4225
72,0.3,1,0.5,440,466,5140
72,0.3,1,1,437,481,5056
72,0.3,1,2,419,457,4723
72,0.3,2,0.5,426,436,4945
72,0.3,2,1,442,457,5168
72,0.3,2,2,454,474,5286
72,0.4,0.5,0.5,395,451,4482
72,0.4,0.5,1,394,466,4405
72,0.4,0.5,2,394,436,4333
72,0.4,1,0.5,443,466,5172
72,0.4,1,1,442,481,5125
72,0.4,1,2,424,457,4805
72,0.4,2,0.5,426,436,4950
72,0.4,2,1,443,457,5183
72,0.4,2,2,456,474,5323
72,0.5,0.5,0.5,404,451,4595
72,0.5,0.5,1,406,466,4565
72,0.5,0.5,2,401,436,4450
72,0.5,1,0.5,446,466,5213
72,0.5,1,1,448,481,5209
72,0.5,1,2,430,457,4896
72,0.5,2,0.5,427,436,4957
72,0.5,2,1,445,457,5203
72,0.5,2,2,459,474,5367
72,0.6,0.5,0.5,414,451,4734
72,0.6,0.5,1,420,466,4757
72,0.6,0.5,2,409,436,4579
72,0.6,1,0.5,450,466,5263
72,0.6,1,1,456,481,5310
72,0.6,1,2,436,457,4994
72,0.6,2,0.5,427,436,4965
72,0.6,2,1,447,457,5227
72,0.6,2,2,463,474,5413
72,0.7,0.5,0.5,426,451,4898
72,0.7,0.5,1,436,466,4978
72,0.7,0.5,2,418,436,4720
72,0.7,1,0.5,455,466,5334
72,0.7,1,1,467,481,5448
72,0.7,1,2,445,457,5121
72,0.7,2,0.5,429,436,4982
72,0.7,2,1,452,457,5279
72,0.7,2,2,471,474,5505
72,0.8,0.5,0.5,440,451,5087
72,0.8,0.5,1,454,466,5228
72,0.8,0.5,2,427,436,4864
72,0.8,1,0.5,463,466,5428
72,0.8,1,1,481,481,5632
72,0.8,1,2,457,457,5276
72,0.8,2,0.5,432,436,5010
72,0.8,2,1,459,457,5364
72,0.8,2,2,484,474,5650
72,0.9,0.5,0.5,455,451,5295
72,0.9,0.5,1,473,466,5503
72,0.9,0.5,2,437,436,5018
72,0.9,1,0.5,475,466,5576
72,0.9,1,1,505,481,5925
72,0.9,1,2,476,457,5516
72,0.9,2,0.5,437,436,5070
72,0.9,2,1,476,457,5548
72,0.9,2,2,512,474,5961
72,1,0.5,0.5,438,445,5113
72,1,0.5,1,428,436,4976
